Attribute_1,Attribute_2,Attribute_3,Attribute_4,Attribute_5,Attribute_6,Attribute_7,Attribute_8,Attribute_9,Attribute_10,Label
0.5488135039273248,0.26455561210462697,0.15896958364551972,0.31856895245132366,0.7252542798196405,0.14944830465799375,0.16469415649791275,0.9903389473967044,0.8638556059232314,0.9774951397444468,0.906555499221179
0.7151893663724195,0.7742336894342167,0.11037514116430513,0.6674103799636817,0.5013243819267023,0.8681260573682142,0.6214784014997635,0.21689698439847394,0.11753185596203308,0.8765052453165908,0.7740473326986388
0.6027633760716439,0.45615033221654855,0.6563295894652734,0.13179786240439217,0.9560836347232239,0.16249293467637482,0.5772285886041676,0.6630782031001008,0.5173791071541142,0.33815895183684563,0.3331451520286419
0.5448831829968969,0.5684339488686485,0.1381829513486138,0.7163272041185655,0.6439901992296374,0.6155595642838442,0.23789282137450862,0.26332237673715064,0.1320681063451533,0.9615701545414985,0.08110138998799676
0.4236547993389047,0.018789800436355142,0.1965823616800535,0.2894060929472011,0.4238550485581797,0.12381998284944151,0.9342139979247938,0.02065099946572868,0.7168596811925937,0.2317016264712045,0.40724117141380733
0.6458941130666561,0.6176354970758771,0.3687251706609641,0.18319136200711683,0.6063932141279244,0.8480082293222344,0.613965955965896,0.7583786538361414,0.39605970280729375,0.9493188224156814,0.23223414217094274
0.4375872112626925,0.6120957227224214,0.8209932298479351,0.5865129348100832,0.019193198309333526,0.8073189587250107,0.5356328030249583,0.32001715082246784,0.565421311858509,0.9413777047064986,0.13248763475798297
0.8917730007820798,0.6169339968747569,0.09710127579306127,0.020107546187493552,0.30157481667454933,0.5691007386145933,0.589909976354571,0.38346389417189797,0.18327983621407862,0.7992025873523917,0.05342718178682526
0.9636627605010293,0.9437480785146242,0.8379449074988039,0.8289400292173631,0.660173537492685,0.40718329722599966,0.7301220295167696,0.5883171135536057,0.14484775934337724,0.6304479368667911,0.7255943642105788
0.3834415188257777,0.6818202991034834,0.09609840789396307,0.004695476192547066,0.29007760721044407,0.06916699545513805,0.31194499547960186,0.8310484552361904,0.48805628064895457,0.874287966624947,0.011427458625031028
0.7917250380826646,0.359507900573786,0.9764594650133958,0.6778165367962301,0.6180154289988415,0.6974287731445636,0.3982210622160919,0.6289818435911487,0.3556127378499556,0.2930202845077967,0.7705807485027762
0.5288949197529045,0.43703195379934145,0.4686512016477016,0.27000797319216485,0.42876870094576613,0.45354268267806885,0.20984374897512215,0.8726506554473953,0.940431945252813,0.8489435553129182,0.14694664540037505
0.5680445610939323,0.6976311959272649,0.9767610881903371,0.7351940221225949,0.13547406422245023,0.7220555994703479,0.18619300588033616,0.27354203481563577,0.7653252538069653,0.6178766919175238,0.07952208258675575
0.925596638292661,0.06022547162926983,0.604845519745046,0.9621885451174382,0.29828232595603077,0.8663823259286292,0.9443723899839336,0.7980468339125637,0.7486636198505473,0.01323685775889949,0.08960303423860538
0.07103605819788694,0.6667667154456677,0.7392635793983017,0.24875314351995803,0.5699649107012649,0.9755215050028858,0.7395507950492876,0.1856359443059522,0.9037197397459334,0.34723351793221957,0.6720478073539145
0.08712929970154071,0.6706378696181594,0.039187792254320675,0.5761573344178369,0.5908727612481732,0.855803342392611,0.4904588086175671,0.9527916569719446,0.08342243544201855,0.14814086094816503,0.24536720985284477
0.02021839744032572,0.2103825610738409,0.2828069625764096,0.592041931271839,0.5743252488495788,0.011714084185001972,0.22741462797332324,0.6874882763878153,0.5521924699224066,0.9818293898182532,0.42053946668009845
0.832619845547938,0.1289262976548533,0.1201965612131689,0.5722519057908734,0.6532008198571336,0.3599780644783639,0.25435648177039294,0.21550767711355845,0.5844760689557689,0.47837030703998806,0.5573687913239169
0.7781567509498505,0.31542835092418386,0.29614019752214493,0.2230816326406183,0.6521032700016889,0.729990562424058,0.05802916032387562,0.9473705904889242,0.961936378547229,0.4973913654986627,0.8605511738287938
0.8700121482468192,0.3637107709426226,0.11872771895424405,0.952749011516985,0.43141843543397396,0.17162967726144052,0.4344166255581208,0.7308558067701578,0.29214752679254885,0.6394725163987236,0.7270442627113283
0.978618342232764,0.5701967704178796,0.317983179393976,0.44712537861762736,0.896546595851063,0.5210366062041293,0.3117958819941026,0.25394164259502583,0.24082877991544682,0.3685846061296175,0.27032790523871464
0.7991585642167236,0.43860151346232035,0.41426299451466997,0.8464086724711278,0.36756187004789653,0.05433798833925363,0.6963434888154595,0.21331197736748198,0.10029394226549782,0.13690027168559893,0.1314827992911276
0.46147936225293185,0.9883738380592262,0.06414749634878436,0.6994792753175043,0.4358649252656268,0.19999652489640007,0.3777518392924809,0.5182007139306632,0.016429629591474204,0.8221177331942455,0.05537432042119794
0.7805291762864555,0.10204481074802807,0.6924721193700198,0.29743695085513366,0.8919233550156721,0.01852179446061397,0.1796036775596348,0.025662718054531575,0.9295293167921905,0.18984791190275796,0.3015986344809425
0.11827442586893322,0.2088767560948347,0.5666014542065752,0.8137978197024772,0.8061939890460857,0.7936977033574206,0.02467872839133123,0.2074700754411094,0.66991654659091,0.511318982546456,0.26211814923967824
0.6399210213275238,0.16130951788499626,0.2653894909394454,0.39650574084698464,0.7038885835403663,0.22392468806038013,0.06724963146324858,0.42468546875150626,0.7851529120231378,0.22431702897473926,0.45614056680047965
0.1433532874090464,0.6531083254653984,0.5232480534666997,0.8811031971111616,0.10022688731230112,0.3453516806969027,0.6793927734985673,0.37416998033422555,0.2817301057539491,0.09784448449403405,0.6832813355476804
0.9446689170495839,0.2532916025397821,0.09394051075844168,0.5812728726358587,0.9194826137446735,0.9280812934655909,0.4536968445560453,0.4635754243648107,0.5864101661863267,0.8621915174216833,0.6956254456388572
0.5218483217500717,0.4663107728563063,0.5759464955561793,0.8817353618548528,0.7142412995491114,0.7044144019235328,0.5365792111087222,0.2776287062947319,0.06395526612098112,0.9729194890231303,0.28351884658216664
0.4146619399905236,0.24442559200160274,0.9292961975762141,0.6925315900777659,0.9988470065678665,0.03183892953130785,0.8966712930403421,0.5867843464581688,0.4856275959346229,0.9608346580630002,0.3799269559001205
